Date;Territoire;Volume Eau Brute
2012;Tagnone-Tavignano;1650527
2013;Fiumorbo;950407
2012;Nebbiu;104628
2004;Tavignano;1284526
2008;Marana;2443318
2011;Alesani;1923852
2010;Rogliano;338
2011;Haut-Tavignano;2076066
2011;Linguizetta;1303915
2013;Bas Tavaro;102900
2012;Fiumorbo;1217518
2015;Tavignano;1815486
2013;Ortolo;142204
2004;Haut Tavaro;87411
2004;Alesani;2046133
2013;Haut-Tavignano;1883905
2014;Mignataja;374846
2015;Porto Vecchio Muratello;37195
2016;Mignataja;406416
2010;Ghisonaccia;2136301
2011;Bas Tavaro;122251
2009;Alesani;1740174
2009;Balagne;531332
2008;Fiumorbo;1532449
2007;Alesani;1660394
2004;Sud-Est;4246095
2007;Linguizetta;1891097
2007;Ortolo;195777
2009;Prunelli Arghiaccia;1551288
2010;Mignataja;217156
2009;Fiumorbo;1605438
2014;Linguizetta;1033356
2014;Bravone;1150539
2015;Sud-Est;5698155
2017;Prunelli Arghiaccia;1795951
2017;Haut Tavaro;51344
2004;Linguizetta;1996764
2004;Ghisonaccia;3804300
2003;Nebbiu;238859
2012;Haut-Tavignano;1847130
2010;Sud-Est;4242141
2007;Haut-Tavignano;1766844
2008;Nebbiu;118481
2015;Tagnone-Tavignano;2231914
2017;Fiumorbo;1377846
2014;Haut-Tavignano;1930132
2014;Haut Tavaro;26096
2014;Alesani;1822048
2017;Nebbiu;304866
2003;Fiumorbo;2004664
2006;Haut Tavaro;45502
2010;Haut Tavaro;45338
2011;Rogliano;295
2011;Sud-Est;4755224
2010;Marana;2659993
2015;Linguizetta;1340876
2014;Marana;3453977
2009;Porto Vecchio Muratello;34213
2008;Casinca;2880028
2012;Marana;3515560
2013;Nebbiu;154184
2005;Rogliano;249
2009;Haut-Tavignano;1758262
2009;Mignataja;391592
2009;Bravone;1126543
2010;Nebbiu;60137
2011;Porto Vecchio Muratello;28688
2011;Haut Tavaro;141041
2013;Bravone;1162697
2015;Prunelli Arghiaccia;1928691
2015;Haut-Tavignano;2320438
2016;Haut Tavaro;44111
2015;Ortolo;223703
2016;Prunelli Arghiaccia;1675718
2017;Marana;3425058
