"id","date","territoire","volume_eau_brute"
202,2007,"tavignano",1204981
203,2008,"rogliano",284
204,2007,"sud-est",4946461
205,2008,"bravone",964101
206,2007,"marana",3444552
207,2015,"bas tavaro",209170
208,2016,"fiumorbo",1186157
209,2013,"tavignano",1415705
210,2013,"casinca",3332765
211,2004,"porto vecchio muratello",16461
212,2003,"alesani",2115161
213,2003,"ortolo",160904
214,2004,"tagnone-tavignano",1710064
215,2007,"ghisonaccia",3019692
216,2006,"rogliano",404
217,2005,"casinca",3149808
218,2010,"haut-tavignano",1560964
219,2017,"ortolo",211290
220,2013,"porto vecchio muratello",27327
221,2014,"bas tavaro",147913
222,2015,"balagne",849701
223,2009,"haut tavaro",21602
224,2009,"casinca",3220634
225,2007,"nebbiu",193031
226,2012,"tagnone-tavignano",1650527
227,2013,"fiumorbo",950407
228,2012,"nebbiu",104628
229,2004,"tavignano",1284526
230,2008,"marana",2443318
231,2011,"alesani",1923852
232,2010,"rogliano",338
233,2011,"haut-tavignano",2076066
234,2011,"linguizetta",1303915
235,2013,"bas tavaro",102900
236,2012,"fiumorbo",1217518
237,2015,"tavignano",1815486
238,2013,"ortolo",142204
239,2004,"haut tavaro",87411
240,2004,"alesani",2046133
241,2013,"haut-tavignano",1883905
242,2014,"mignataja",374846
243,2015,"porto vecchio muratello",37195
244,2016,"mignataja",406416
245,2010,"ghisonaccia",2136301
246,2011,"bas tavaro",122251
247,2009,"alesani",1740174
248,2009,"balagne",531332
249,2008,"fiumorbo",1532449
250,2007,"alesani",1660394
251,2004,"sud-est",4246095
252,2007,"linguizetta",1891097
253,2007,"ortolo",195777
254,2009,"prunelli arghiaccia",1551288
255,2010,"mignataja",217156
256,2009,"fiumorbo",1605438
257,2014,"linguizetta",1033356
258,2014,"bravone",1150539
259,2015,"sud-est",5698155
260,2017,"prunelli arghiaccia",1795951
261,2017,"haut tavaro",51344
262,2004,"linguizetta",1996764
263,2004,"ghisonaccia",3804300
264,2003,"nebbiu",238859
265,2012,"haut-tavignano",1847130
266,2010,"sud-est",4242141
267,2007,"haut-tavignano",1766844
268,2008,"nebbiu",118481
269,2015,"tagnone-tavignano",2231914
270,2017,"fiumorbo",1377846
271,2014,"haut-tavignano",1930132
272,2014,"haut tavaro",26096
273,2014,"alesani",1822048
274,2017,"nebbiu",304866
275,2003,"fiumorbo",2004664
276,2006,"haut tavaro",45502
277,2010,"haut tavaro",45338
278,2011,"rogliano",295
