"ANNREF","CANTON","CANTON_MOD","CANTON_LIB","RA_3010_DIM2","RA_3010_DIM2_MOD","RA_3010_DIM2_LIB","RA_3010_DIM3","RA_3010_DIM3_MOD","RA_3010_DIM3_LIB","N118","N118_MOD","N118_LIB","N027","N027_MOD","N027_LIB","VALEUR","QUALITE","�..NOM"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",11,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",42,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",7,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",32,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",4,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",5,"Bovins d'un an ou plus","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",10,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",25,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",225,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",15,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",103,"OUI","RA_3010"
